"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","51/790","393/28928",0.129770992366412,4.75191805971591,12.5481387590421,2.59225680169863e-20,1.02005305146841e-17,7.49707953964945e-18,"12487/240754/20339/16963/18761/16184/12010/751864/18124/12578/20423/74734/83408/12515/27027/24099/15930/234199/20443/12501/67596/16160/20304/78473/12775/20533/56838/21943/15117/72049/100043314/208154/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",51
"GO:0048525","GO:0048525","negative regulation of viral process","29/790","115/28928",0.252173913043478,9.23403412217942,14.8247020557624,4.02948315568249e-20,1.46363226624098e-17,1.07572517929435e-17,"20684/102639543/623121/236312/100033459/100040462/15950/19130/20568/100038882/23962/231655/246728/246727/23961/23960/246730/76681/434219/20128/209387/68713/69550/20304/58185/12265/17858/224762/16149",29
"GO:0002218","GO:0002218","activation of innate immune response","46/790","324/28928",0.141975308641975,5.19881231442413,12.7351543639925,5.02074203889593e-20,1.69342456483333e-17,1.2446155264842e-17,"102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/228801/58203/229898/55932/14468/14469/100061/231655/246727/23961/23960/246730/414084/16643/27007/76681/434219/20128/209387/244202/54123/234311/81897/327957/637515/80861/382551/58185/16364/54483/15511/224762/224840/12475/60533/71398/12229",46
"GO:0002697","GO:0002697","regulation of immune effector process","56/790","487/28928",0.114989733059548,4.21066202271723,11.9730630983153,1.12192548663755e-19,3.531821431935e-17,2.59578128382035e-17,"16182/12487/13345/16963/30925/14125/12902/19074/12010/16447/18124/22163/83408/80782/12515/16643/27007/12483/243958/14128/234311/69550/81897/215900/22364/16160/327957/12775/80861/58185/13421/57757/14972/15000/14999/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/69816/16149/14126/60533/20371/20400/12229",56
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","42/790","285/28928",0.147368421052632,5.39629580279813,12.4973725181254,5.26558377034952e-19,1.5540054102244e-16,1.142146690187e-16,"12487/20339/16963/18761/16184/12010/751864/18124/20423/74734/83408/24099/20443/12501/67596/16160/20304/78473/12775/20533/21943/15117/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",42
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","40/790","259/28928",0.154440154440154,5.65524656663897,12.609705071854,6.66309854355415e-19,1.85077360721545e-16,1.36026228471195e-16,"12487/16963/18761/16184/12578/22163/20423/93675/12483/243958/27027/170786/24099/15930/12501/81897/16160/57916/20304/12775/20533/20666/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",40
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","44/790","320/28928",0.1375,5.03493670886076,12.161484713568,1.15690828735045e-18,3.03495607381602e-16,2.23060036455815e-16,"12487/69169/240754/12503/14125/12902/228801/77799/329693/18124/23961/23960/246730/414084/12526/12525/93675/16643/27007/12518/12483/16797/12478/14128/12501/12047/67596/327957/78473/12775/15985/12143/208154/14293/547431/100038862/632126/624681/74556/12475/12482/20371/20400/12229",44
"GO:0050863","GO:0050863","regulation of T cell activation","49/790","397/28928",0.123425692695214,4.51956764340146,11.8316333731822,1.22160000374698e-18,3.03599748299643e-16,2.23136576861705e-16,"12487/240754/16963/18761/16184/12010/751864/54390/12578/20423/74734/83408/93675/12515/16797/27027/170786/24099/15930/234199/12501/67596/16160/20304/12775/20533/21943/72049/100043314/208154/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",49
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","40/790","264/28928",0.151515151515152,5.54813962408899,12.4390148228763,1.34128928221322e-18,3.16678399530541e-16,2.32748987550367e-16,"12487/16963/18761/16184/12578/22163/20423/93675/12483/243958/27027/170786/24099/15930/12501/81897/16160/57916/20304/12775/20533/20666/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",40
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","41/790","286/28928",0.143356643356643,5.24939364433035,12.101158272159,3.86034331114183e-18,8.68025767391035e-16,6.37972526157124e-16,"12487/16963/18761/16184/12578/22163/20423/93675/12483/243958/27027/170786/24099/15930/76527/12501/81897/16160/57916/20304/12775/20533/20666/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",41
"GO:0045071","GO:0045071","negative regulation of viral genome replication","21/790","65/28928",0.323076923076923,11.8303407984421,14.6469330762824,2.19432129457541e-17,4.70981143317504e-15,3.46156809005509e-15,"102639543/623121/236312/100033459/100040462/15950/19130/20568/100038882/23962/231655/246728/246727/23961/23960/246730/68713/69550/20304/58185/17858",21
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","32/790","179/28928",0.17877094972067,6.5461848525564,12.4717706339637,2.73688215515422e-17,5.54195281649408e-15,4.0731666858336e-15,"16182/12487/16963/14125/18761/12010/83408/244202/14128/24099/16160/78473/58185/72049/14972/14998/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/16149/20371/12229",32
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","41/790","302/28928",0.135761589403974,4.9712800737698,11.6244465649945,2.81674857255099e-17,5.54195281649408e-15,4.0731666858336e-15,"12487/69169/240754/12503/12902/228801/77799/329693/18124/23961/23960/246730/414084/12526/12525/93675/16643/27007/12518/12483/16797/12478/12501/12047/67596/327957/78473/12775/15985/12143/14293/547431/100038862/632126/624681/74556/12475/12482/20371/20400/12229",41
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","46/790","383/28928",0.120104438642298,4.39795088739796,11.2168288047101,4.15613982705624e-17,7.85011690534382e-15,5.76959705675976e-15,"12487/16963/18761/16184/12010/751864/18124/22163/20423/74734/83408/27007/16170/24099/17394/12501/81897/67596/16160/20304/12775/20533/14165/21943/321019/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186/12229",46
"GO:0002819","GO:0002819","regulation of adaptive immune response","38/790","263/28928",0.144486692015209,5.29077345141262,11.7126756479887,5.04110141420272e-17,9.15541572225587e-15,6.72895196867465e-15,"16182/12487/16963/14125/12902/18761/12010/83408/12515/16643/244202/54123/14128/24099/16160/78473/12775/58185/72049/14972/14998/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/16149/60533/20371/12229",38
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","43/790","340/28928",0.126470588235294,4.63106478034252,11.2849645630721,6.69752035497741e-17,1.17132189319272e-14,8.60885949721658e-15,"12487/20339/16963/18761/16184/12010/751864/18124/20423/74734/83408/26367/24099/20443/12501/67596/16160/20304/78473/12775/20533/21943/15117/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",43
"GO:0035456","GO:0035456","response to interferon-beta","22/790","77/28928",0.285714285714286,10.4622061482821,13.9307969950219,7.36195862014025e-17,1.24154173586794e-14,9.12495397391068e-15,"102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/55932/14468/14469/23961/23960/246730/68713/69550/15953/327959/240327/15959/15957",22
"GO:0050867","GO:0050867","positive regulation of cell activation","47/790","407/28928",0.115479115479115,4.22858209187323,10.9912046587014,8.92233907617713e-17,1.45280293509339e-14,1.06776595042309e-14,"12487/16963/18761/16184/12010/751864/18124/22163/20423/74734/83408/54368/27007/16170/24099/17394/12501/81897/67596/16160/20304/12775/20533/14165/21943/321019/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186/12229",47
"GO:0050870","GO:0050870","positive regulation of T cell activation","37/790","259/28928",0.142857142857143,5.23110307414105,11.4608240680265,1.90331318140025e-16,2.995814947524e-14,2.20183282774619e-14,"12487/16963/18761/16184/12010/751864/20423/74734/83408/24099/12501/67596/16160/20304/12775/20533/21943/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",37
"GO:0002699","GO:0002699","positive regulation of immune effector process","41/790","324/28928",0.126543209876543,4.63372401937803,11.0212204875066,3.49546921433837e-16,5.32438891293735e-14,3.91326383690105e-14,"16182/12487/16963/30925/14125/12010/18124/22163/83408/16643/27007/14128/234311/81897/16160/327957/12775/80861/58185/14972/15000/14999/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/69816/16149/14126/20371/20400/12229",41
"GO:0032496","GO:0032496","response to lipopolysaccharide","50/790","476/28928",0.105042016806723,3.84639931922136,10.492078566584,4.5139649214563e-16,6.45470330991021e-14,4.74401052470496e-14,"227231/98256/12902/12010/20568/229898/55932/14468/14469/19218/18619/18671/20309/20617/414084/27007/76681/434219/20128/209387/66298/634825/382059/100041759/13237/13239/626682/626708/100041952/503491/15930/17394/81897/16160/327957/18126/66107/12775/22169/17079/14165/100503545/12263/12475/12511/60533/58205/20371/12705/12229",50
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","30/790","171/28928",0.175438596491228,6.42416166999778,11.9200347833913,4.63742909492027e-16,6.45470330991021e-14,4.74401052470496e-14,"16182/12487/16963/14125/18761/12010/83408/244202/14128/24099/16160/58185/72049/14972/14998/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20371/12229",30
